,word_count,words_updated,words_filtered
7,1,16,6
8,1,84,4
9,1,American,American
10,1,Amnesty,Amnesty
11,1,As,As
12,1,Black,Black
13,1,CNBC,CNBC
14,2,Donald,Donald
15,1,Duck,Duck
16,1,End,End
17,1,Friend,Friend
18,2,How,How
19,1,In,In
20,1,It,It
21,1,Marco,Marco
22,1,Midnight,Midnight
23,1,Morning,Morning
24,1,Our,Our
25,1,Quitter,Quitter
26,12,S,S
27,1,Slave,Slave
28,1,Stakes,Stakes
29,1,Star,Star
30,1,Stronger,Stronger
31,1,True,True
32,1,Trump,Trump
33,1,Winlose,Winlose
34,1,best,best
35,1,cease,cease
36,29,d,d
37,1,deportation,deportation
38,1,disaster,disaster
39,1,enough,enough
40,1,great,great
41,1,hoax,hoax
42,1,https,https
43,46,ll,ll
44,1,love,love
45,56,m,m
46,1,mass,mass
47,1,paid,paid
48,1,persistent,persistent
49,1,possibilities,possibilities
50,1,public,public
51,1,rapists,rapists
52,113,re,re
53,1045,s,s
54,1,service,service
55,1,taco,taco
56,2,the,the
57,1,unjustified,unjustified
58,69,ve,ve
59,1,woman,woman
60,2,yes,yes
63,1,Instructions,Instructions
64,1,Not,Not
65,1,any,any
66,1,arent,arent
67,1,does,does
68,1,hes,hes
69,1,literally,literally
70,1,multiple,multiple
71,1,offer,offer
72,1,today,today
75,1,15,5
81,105,H,H
82,1,Hillary,Hillary
83,2,Joe,Joe
84,1,TK,TK
85,4,VP,VP
86,1,Wishing,Wishing
87,1,a,a
88,1,can,can
89,1,really,really
93,1,all,all
94,1,GO,GO
95,1,HE,HE
96,1,TRUMP,TRUMP
97,1,read,read
98,1,that,that
99,1,the,the
101,1,tco00GNH9nLet,tco00GNH9nLet
102,1,tco02NMQn3ZNQ,tco02NMQn3ZNQ
103,1,tco04e5iXzGL1,tco04e5iXzGL1
104,1,tco04qqpGylT7,tco04qqpGylT7
105,1,tco04t1BHwlVc,tco04t1BHwlVc
106,1,tco04viDbO5fV,tco04viDbO5fV
107,1,tco04viDc5G7t,tco04viDc5G7t
108,1,tco05NY0wJHkL,tco05NY0wJHkL
109,1,tco05SjuRJFbf,tco05SjuRJFbf
110,1,tco0687tOERez,tco0687tOERez
111,1,tco08whtFVC0r,tco08whtFVC0r
112,1,tco08xkEBD8Be,tco08xkEBD8Be
113,1,tco09cW39nHXo,tco09cW39nHXo
114,1,tco09hTbBgPHf,tco09hTbBgPHf
115,1,tco0DWIvJpoJG,tco0DWIvJpoJG
116,1,tco0DyHkzzWvj,tco0DyHkzzWvj
117,1,tco0Ei3EdQdXB,tco0Ei3EdQdXB
118,1,tco0Ej6gaWzIf,tco0Ej6gaWzIf
119,1,tco0FFeKTsuJn,tco0FFeKTsuJn
120,1,tco0JCjfbcpJZ,tco0JCjfbcpJZ
121,1,tco0JaHehp9ig,tco0JaHehp9ig
122,1,tco0LOja02ENX,tco0LOja02ENX
123,1,tco0NQLzbwuFo,tco0NQLzbwuFo
124,1,tco0OmE5v8IK7,tco0OmE5v8IK7
125,1,tco0OpO5kCyyg,tco0OpO5kCyyg
126,1,tco0QU7KsdCka,tco0QU7KsdCka
127,1,tco0QUSXERSql,tco0QUSXERSql
128,1,tco0RRPbfIgXH,tco0RRPbfIgXH
129,1,tco0T22CRcy2V,tco0T22CRcy2V
130,1,tco0TUpaNfUmR,tco0TUpaNfUmR
131,1,tco0VI8zmXgZE,tco0VI8zmXgZE
132,1,tco0Vvw0m36ZX,tco0Vvw0m36ZX
